Keyword,Position,Volume,Traffic,Legacy URL,Target www URL,Gap,Cluster
"dime cart",1,1900,1520,https://dimeindustries.com/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"dime pen",1,1300,1040,https://dimeindustries.com/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"dime disposable",1,1300,1040,https://dimeindustries.com/,https://www.dimeindustries.us/blog/dime-cart-vs-disposable,Y,Disposables
"dimes disposable",1,1000,800,https://dimeindustries.com/,https://www.dimeindustries.us/blog/dime-cart-vs-disposable,Y,Disposables
"dime carts",1,1000,800,https://dimeindustries.com/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"dime weed",1,720,576,https://dimeindustries.com/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"dime dispo",1,480,384,https://dimeindustries.com/,https://www.dimeindustries.us/blog/dime-cart-vs-disposable,Y,Disposables
"dime pens",1,480,384,https://dimeindustries.com/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"dime industries disposable",1,320,256,https://dimeindustries.com/products/vapes/,https://www.dimeindustries.us/blog/dime-cart-vs-disposable,Y,Disposables
"dime industries rosin",1,320,256,https://dimeindustries.com/products/vapes/rosin-line/,https://www.dimeindustries.us/shop/vapes/rosin,Partial,Rosin
"dime industries vapes deals",1,260,208,https://dimeindustries.com/,https://www.dimeindustries.us/promotions,Partial,Promotions
"dime industries vapes specials",1,260,208,https://dimeindustries.com/,https://www.dimeindustries.us/promotions,Partial,Promotions
"dime industries flower deals",1,210,168,https://dimeindustries.com/,https://www.dimeindustries.us/promotions,Partial,Promotions
"dime industries cartridges",1,210,168,https://dimeindustries.com/products/vapes/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"dime flavors",1,210,168,https://dimeindustries.com/products/vapes/,https://www.dimeindustries.us/blog/best-dime-industries-flavors,Y,Flavors GEO
"dime industries flower",1,210,168,https://dimeindustries.com/,https://www.dimeindustries.us/shop,Y,Flower
"dime dispensary",1,210,168,https://dimeindustries.com/,https://www.dimeindustries.us/locations,Partial,Local
"dime thc",1,170,136,https://dimeindustries.com/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"dime industries vapes",1,170,136,https://dimeindustries.com/products/vapes/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"dime disposables",1,140,112,https://dimeindustries.com/,https://www.dimeindustries.us/blog/dime-cart-vs-disposable,Y,Disposables
"dime industries carts",1,140,112,https://dimeindustries.com/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"dime dispos",1,140,112,https://dimeindustries.com/,https://www.dimeindustries.us/blog/dime-cart-vs-disposable,Y,Disposables
"mango diesel strain",1,390,96,https://dimeindustries.com/products/vapes/signature-line/mango-diesel/,https://www.dimeindustries.us/product/mango-diesel,N,Strain PDP
"blackberry og",2,720,95,https://dimeindustries.com/products/vapes/signature-line/blackberry-og/,https://www.dimeindustries.us/product/blackberry-og,N,Strain PDP
"dime disposable pens",1,110,88,https://dimeindustries.com/,https://www.dimeindustries.us/blog/dime-cart-vs-disposable,Y,Disposables
"dime industries near me",1,110,88,https://dimeindustries.com/locations/,https://www.dimeindustries.us/locations,Partial,Local
"dimes dispo",1,110,88,https://dimeindustries.com/,https://www.dimeindustries.us/blog/dime-cart-vs-disposable,Y,Disposables
"dime industries pen",1,110,88,https://dimeindustries.com/products/vapes/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"key lime pie strain",3,2900,69,https://dimeindustries.com/products/vapes/signature-line/key-lime-pie/,https://www.dimeindustries.us/product/key-lime-pie,N,Strain PDP
"king louis xiii strain",9,3600,68,https://dimeindustries.com/products/vapes/live-reserve-line/king-louis-xiii/,https://www.dimeindustries.us/product/king-louis-xiii,N,Strain PDP
"dime industries vape",1,260,64,https://dimeindustries.com/products/vapes/,https://www.dimeindustries.us/shop/vapes,Partial,Carts
"dime thc las vegas",2,480,63,https://dimeindustries.com/locations/nevada/,https://www.dimeindustries.us/locations/nevada,Partial,Local
"sour grapes strain",3,1300,57,https://dimeindustries.com/products/vapes/signature-line/sour-grape/,https://www.dimeindustries.us/product/sour-grape,N,Strain PDP
"dime carts disposable",1,70,56,https://dimeindustries.com/,https://www.dimeindustries.us/blog/dime-cart-vs-disposable,Y,Disposables
