Target Site,Est DR,Editor Contact,Pitch Status,Pitch Angle,Target Link URL,Published Link,Notes
mgmagazine.com,50,Research via masthead,Research,Budtender guide: Validate + COA literacy,/validate,,Retail trade — P0
cannabisbusinesstimes.com,65,Research,Research,Anti-leak hardware + licensed DTC ops,/blog/built-to-beat-leaks-the-dime-hardware-story,,
mjbizdaily.com,70,Research,Research,Authenticity Pulse data commentary,/facts,,Prefer contributed insight over advertorial
cannabisnow.com,50,Research,Research,How to spot fake carts (education),/blog/how-to-spot-fake-dime-carts,,
ganjapreneur.com,50,Research,Research,Compliance-safe brand content GEO,/glossary,,
hmretailer.com,45,Research,Research,Retail staff authenticity checklist,/trust,,
greenentrepreneur.com,55,Research,Research,Building trust signals online (Validate/COA),/lab-results,,
newcannabisventures.com,55,Research,Research,Product/line explainers not funding spam,/blog/dime-live-reserve-explained,,
hightimes.com,70,Research,Research,Cart vs disposable plain-English,/blog/dime-cart-vs-disposable,,Compliance edit required
leafly.com/news,80,Research,Research,Expert quote / contributed — not classic guest,/,Unlinked mention first
friendsofthefarm.com,40,Research,Research,CA brand spotlight,/locations/california,,Verify accepts contributors
vaping360.com,50,Research,Research,Cannabis cart battery basics (scoped),/blog/how-to-use-a-dime-cart,,Avoid nicotine conflation
bostonmagazine.com,60,Research,Research,Licensed brands in MA,/locations/massachusetts,,Lifestyle editor
timeout.com/los-angeles,70,Research,Research,Where to find lab-tested brands (listicle),/locations/california,,
thrillist.com,70,Research,Research,Authenticity tips for legal-market shoppers,/trust,,
sfweekly.com / local alts,40,Research,Research,OC/LA brand feature,/locations/california,,Confirm outlet
edibles magazine / similar,40,Research,Research,Edibles buying literacy,/shop/edibles,,Verify domain live
podcast show notes sites,40+,Host,Research,Show-notes link after appearance,/trust,,Tier 7 hybrid
substack cannabis pubs,40+,Editor,Research,Exclusive data table,/facts,,
university or extension rare,50+,Editor,Compliance hold,Resource page only if non-promotional,/glossary,,Most will decline brands
