Publish Date,Content Title,Content Type,Primary Keyword,Intent,Word Count Target,Status,Cluster,Assigned URL,Notes
2026-08-03,How many dimes in a roll?,Blog Post,how many dimes in a roll,Informational,1500,Published,Coin GEO,/blog/how-many-dimes-in-a-roll,Fact-corrected 50/$5
2026-08-03,What is a Dime cart?,Blog Post,what is a dime cart,Informational,1400,Published,Carts GEO,/blog/what-is-a-dime-cart,
2026-08-03,Dime cart vs disposable,Blog Post,dime cart vs disposable,Informational,1400,Published,Compare GEO,/blog/dime-cart-vs-disposable,
2026-08-03,What is DIME Live Reserve?,Blog Post,what is dime live reserve,Informational,1400,Published,Live Reserve GEO,/blog/dime-live-reserve-explained,
2026-08-03,Signature vs Live Reserve,Blog Post,signature vs live reserve,Informational,1400,Published,Compare GEO,/blog/signature-vs-live-reserve,
2026-08-03,How to spot fake Dime carts,Blog Post,how to spot fake dime carts,Informational,1400,Published,Trust GEO,/blog/how-to-spot-fake-dime-carts,
2026-08-03,How to use a Dime cart,Blog Post,how to use a dime cart,Informational,1400,Published,HowTo GEO,/blog/how-to-use-a-dime-cart,
2026-08-05,Best DIME Industries flavors (2026 guide),Blog Post,dime flavors,Informational,1600,Planned,Flavors GEO,/blog/best-dime-industries-flavors,"Semrush gap 210 vol; also dime cart flavors"
2026-08-07,Live resin vs live rosin (and where DIME fits),Blog Post,live resin vs live rosin,Informational,1600,Planned,Compare GEO,/blog/live-resin-vs-live-rosin,Educational; link Live Reserve + Rosin
2026-08-12,How to charge a DIME battery,Blog Post,how to charge a dime battery,Informational,1200,Planned,HowTo GEO,/blog/how-to-charge-a-dime-battery,Supports accessories hub
2026-08-14,What is in a Dime cartridge?,Blog Post,what is in a dime cartridge,Informational,1400,Planned,Carts GEO,/blog/what-is-in-a-dime-cartridge,Hardware + extract overview
2026-08-19,DIME disposables landing (all-in-one hub),Landing Page,dime disposable,Commercial,900,Planned,Disposables,/shop/vapes/disposables,"Semrush #1 gap 1300 vol — dedicated indexable landing NOT query facet"
2026-08-20,Strain PDP SEO pass (top Semrush strains),Refresh,key lime pie strain,Informational,N/A,Planned,Strain PDP,"/product/key-lime-pie etc","Optimize meta/H1 for birthday cake / king louis / key lime / sour grape / blackberry og"
2026-08-21,Are Dime carts worth it?,Blog Post,are dime carts worth it,Informational,1400,Planned,Carts GEO,/blog/are-dime-carts-worth-it,E-E-A-T; point to validate + COA
2026-08-26,Why is my Dime cart clogged?,Blog Post,why is my dime cart clogged,Informational,1200,Planned,Support GEO,/blog/why-is-my-dime-cart-clogged,Also add FAQ entry
2026-08-28,How to store a Dime cart,Blog Post,how to store dime cart,Informational,1000,Planned,Support GEO,/blog/how-to-store-a-dime-cart,
2026-09-02,What is DIME Rosin?,Blog Post,what is dime rosin,Informational,1400,Planned,Rosin GEO,/blog/what-is-dime-rosin,Supports /shop/vapes/rosin
2026-09-04,Solventless cart shopping guide,Blog Post,solventless cart,Commercial,1400,Planned,Rosin,/blog/solventless-cart-guide,Brand-qualify DIME Rosin
2026-09-09,DIME Signature line explained,Blog Post,dime signature line,Commercial,1200,Planned,Signature,/blog/dime-signature-explained,
2026-09-11,Melted diamonds in vapes — plain English,Blog Post,melted diamonds vape,Informational,1200,Planned,Live Reserve GEO,/blog/melted-diamonds-vape-explained,
2026-09-16,DIME edibles buying guide,Blog Post,dime industries edibles,Commercial,1500,Planned,Edibles,/blog/dime-edibles-buying-guide,
