Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
dime cart,1,1,1900,17,2.74,https://dimeindustries.com/,1520,7.65,4164.00,0.01,158,"66, 79, 36, 30, 54, 100, 100, 100, 41, 100, 79, 100",2026-08-02,"Image pack, Sitelinks, Video, People also ask, Related searches","commercial, navigational",Organic
dime pen,1,1,1300,20,2.20,https://dimeindustries.com/,1040,5.23,2288.00,0.01,0,"0, 13, 8, 13, 10, 16, 29, 29, 16, 43, 81, 100",2026-07-24,"Image pack, Sitelinks, People also ask, Popular products, Related searches",navigational,Organic
dime disposable,1,1,1300,18,2.79,https://dimeindustries.com/,1040,5.23,2901.00,0.04,0,"52, 52, 46, 68, 68, 68, 84, 46, 68, 100, 84, 68",2026-06-16,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
dimes disposable,1,1,1000,15,2.16,https://dimeindustries.com/,800,4.03,1728.00,0.04,145,"46, 13, 52, 68, 46, 46, 37, 13, 52, 100, 52, 84",2026-07-02,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches","commercial, navigational",Organic
dime carts,1,1,1000,22,2.22,https://dimeindustries.com/,800,4.03,1776.00,0.01,0,"3, 13, 8, 16, 16, 16, 16, 10, 10, 3, 19, 4",2026-06-14,"Sitelinks, Video, Video Carousel, People also ask, Related searches",navigational,Organic
dime weed,1,1,720,29,0.00,https://dimeindustries.com/,576,2.9,0.00,0.33,167,"24, 24, 36, 30, 24, 41, 30, 30, 24, 20, 30, 30",2026-07-23,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
dime dispo,1,1,480,17,2.79,https://dimeindustries.com/,384,1.93,1071.00,0.04,157,"20, 24, 24, 36, 20, 13, 55, 100, 36, 24, 30, 36",2026-06-09,"Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
dime pens,1,1,480,21,2.20,https://dimeindustries.com/,384,1.93,844.00,0.01,0,"30, 3, 45, 30, 36, 5, 6, 81, 8, 10, 36, 45",2026-07-17,"Image pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
dime industries disposable,1,1,320,18,1.95,https://dimeindustries.com/products/vapes/,256,1.28,499.00,0.05,147,"82, 53, 66, 66, 82, 100, 82, 82, 66, 66, 66, 82",2026-07-15,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches","informational, transactional",Organic
dime industries rosin,1,1,320,10,0.00,https://dimeindustries.com/products/vapes/rosin-line/,256,1.28,0.00,0,156,"100, 0, 0, 0, 0, 0",2026-07-11,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
dime industries vapes deals,1,1,260,12,0.00,https://dimeindustries.com/,208,1.04,0.00,0,161,"44, 81, 100, 44, 23, 15, 35, 35, 44, 28, 23, 23",2026-06-27,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,Organic
dime industries vapes specials,1,1,260,16,0.00,https://dimeindustries.com/,208,1.04,0.00,0,152,"44, 0, 44, 44, 28, 18, 44, 44, 44, 35, 100, 28",2026-07-08,"Sitelinks, Reviews, Related searches, AI overview",informational,Organic
dime industries flower deals,1,1,210,11,0.00,https://dimeindustries.com/,168,0.84,0.00,0,143,"29, 35, 43, 54, 43, 29, 43, 43, 43, 43, 100, 43",2026-07-10,"Sitelinks, Reviews, People also ask, Related searches, AI overview","informational, navigational",Organic
dime industries cartridges,1,1,210,17,3.36,https://dimeindustries.com/products/vapes/,168,0.84,564.00,0.08,171,"5, 5, 7, 53, 53, 53, 53, 53, 82, 100, 82, 82",2026-06-21,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
dime flavors,1,1,210,8,0.00,https://dimeindustries.com/products/vapes/,168,0.84,0.00,0.01,174,"28, 34, 34, 28, 53, 65, 81, 65, 81, 100, 100, 100",2026-06-23,"Image pack, Sitelinks, Reviews, Video, Related searches",navigational,Organic
dime industries flower,1,1,210,11,0.00,https://dimeindustries.com/,168,0.84,0.00,0,156,"43, 81, 65, 65, 53, 65, 100, 65, 65, 65, 65, 34",2026-07-07,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview","informational, navigational",Organic
dime dispensary,1,1,210,28,2.42,https://dimeindustries.com/,168,0.84,406.00,0.06,180,"43, 34, 53, 53, 53, 65, 81, 81, 81, 65, 65, 81",2026-07-19,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
dime thc,1,1,170,17,0.00,https://dimeindustries.com/,136,0.68,0.00,0,181,"2, 0, 0, 0, 1, 0, 0, 0, 0, 100, 3, 5",2026-06-10,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
dime industries vapes,1,1,170,23,0.00,https://dimeindustries.com/products/vapes/,136,0.68,0.00,0.04,178,"52, 66, 0, 80, 100, 66, 66, 100, 100, 100, 100, 80",2026-06-21,"Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
dime disposables,1,1,140,15,2.16,https://dimeindustries.com/,112,0.56,241.00,0.04,149,"5, 0, 2, 4, 1, 2, 1, 1, 3, 3, 52, 11",2026-07-22,"Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
dime industries carts,1,1,140,16,1.70,https://dimeindustries.com/,112,0.56,190.00,0.02,160,"22, 29, 35, 22, 29, 29, 29, 29, 29, 35, 29, 29",2026-08-01,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
dime dispos,1,1,140,16,2.16,https://dimeindustries.com/,112,0.56,241.00,0.04,151,"19, 15, 34, 26, 34, 53, 26, 100, 53, 42, 80, 80",2026-07-12,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
mango diesel strain,1,1,390,6,0.00,https://dimeindustries.com/products/vapes/signature-line/mango-diesel/,96,0.48,0.00,0.33,108,"81, 81, 66, 66, 66, 54, 81, 66, 54, 66, 54, 81",2026-06-20,"Reviews, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
blackberry og,2,2,720,6,0.00,https://dimeindustries.com/products/vapes/signature-line/blackberry-og/,95,0.47,0.00,0.33,184,"24, 45, 45, 55, 45, 45, 45, 76, 100, 67, 55, 67",2026-07-23,"Reviews, Video, People also ask, Popular products, Related searches, AI overview",commercial,Organic
dime disposable pens,1,1,110,14,0.00,https://dimeindustries.com/,88,0.44,0.00,0.33,150,"13, 8, 6, 4, 5, 6, 6, 6, 10, 3, 10, 8",2026-07-11,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
dime industries near me,1,1,110,20,2.05,https://dimeindustries.com/locations/,88,0.44,180.00,0.01,54,"33, 42, 52, 66, 42, 52, 42, 52, 52, 52, 66, 80",2026-07-02,"Knowledge panel, Sitelinks, Related searches","navigational, transactional",Organic
dimes dispo,1,1,110,17,2.16,https://dimeindustries.com/,88,0.44,190.00,0.04,150,"7, 3, 7, 42, 80, 26, 19, 65, 34, 65, 65, 100",2026-07-12,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
dime industries pen,1,1,110,11,0.00,https://dimeindustries.com/products/vapes/,88,0.44,0.00,0.02,206,"52, 52, 80, 9, 33, 33, 33, 42, 52, 100, 42, 42",2026-06-18,"Sitelinks, Video, Video Carousel, People also ask, Related searches","informational, navigational",Organic
