Rank,Keyword,Assigned URL,Intent,Priority,Volume,Desktop Rank,Mobile Rank,Featured Snippet,PAA,AI Overview,Last Checked,Notes
1,"are dime carts real",/validate,Informational,High,Medium,,,,,,,
2,"buy dime carts",/shop/vapes,Transactional,High,Medium,,,,,,,
3,"can i buy dime carts online",/,Transactional,High,Medium,,,,,,,
4,"dime all in one",/shop/vapes,Commercial,High,Medium,,,,,,,
5,"dime cart",/shop/vapes,Commercial,High,High,,,,,,,
6,"dime cart vs disposable",/blog/dime-cart-vs-disposable,Informational,High,Medium,,,,,,,
7,"dime carts",/shop/vapes,Commercial,High,High,,,,,,,
8,"dime carts california",/locations/california,Local,High,Medium,,,,,,,
9,"dime carts for sale",/shop/vapes,Transactional,High,Medium,,,,,,,
10,"dime carts near me",/locations,Local,High,Medium,,,,,,,
11,"dime disposable",/shop/vapes,Commercial,High,Medium-High,,,,,,,
12,"dime disposable vape",/shop/vapes,Commercial,High,Medium,,,,,,,
13,"dime industries",/,Navigational,High,High,,,,,,,
14,"dime industries california",/locations/california,Local,High,Medium,,,,,,,
15,"dime industries carts",/shop/vapes,Commercial,High,Medium,,,,,,,
16,"dime industries coa",/lab-results,Informational,High,Medium,,,,,,,
17,"dime industries lab results",/lab-results,Informational,High,Medium,,,,,,,
18,"dime industries live reserve",/shop/vapes/live-reserve,Commercial,High,Medium,,,,,,,
19,"dime industries near me",/locations,Local,High,Medium,,,,,,,
20,"dime industries official",/,Navigational,High,Medium,,,,,,,
21,"dime industries rosin",/shop/vapes/rosin,Commercial,High,Medium,,,,,,,
22,"dime industries validate",/validate,Navigational,High,Low-Medium,,,,,,,
23,"dime industries vapes",/shop/vapes,Commercial,High,Medium,,,,,,,
24,"dime rosin vape",/shop/vapes/rosin,Commercial,High,Medium,,,,,,,
25,"dime signature",/shop/vapes/signature,Commercial,High,Medium,,,,,,,
26,"dime tanks",/shop/vapes,Commercial,High,Medium,,,,,,,
27,"find dime near me",/locations,Local,High,Medium,,,,,,,
28,"how many dimes in a roll",/blog/how-many-dimes-in-a-roll,Informational,High,High,,,,,,,
29,"how much is a roll of dimes",/blog/how-many-dimes-in-a-roll,Informational,High,High,,,,,,,
30,"how to spot fake dime carts",/blog/how-to-spot-fake-dime-carts,Informational,High,Medium,,,,,,,
31,"how to stop dime cart leaking",/blog/built-to-beat-leaks-the-dime-hardware-story,Informational,High,Medium,,,,,,,
32,"how to validate dime product",/validate,Informational,High,Medium,,,,,,,
33,"is dime live reserve live resin",/blog/dime-live-reserve-explained,Informational,High,Medium,,,,,,,
34,"live reserve dime",/shop/vapes/live-reserve,Commercial,High,Medium,,,,,,,
35,"live resin vs live reserve",/blog/signature-vs-live-reserve,Informational,High,Medium,,,,,,,
36,"signature vs live reserve",/blog/signature-vs-live-reserve,Informational,High,Medium,,,,,,,
37,"what is a dime cart",/blog/what-is-a-dime-cart,Informational,High,Medium,,,,,,,
38,"what is dime live reserve",/blog/dime-live-reserve-explained,Informational,High,Medium,,,,,,,
39,"what is in a dime cartridge",/blog/what-is-in-a-dime-cartridge,Informational,High,Medium,,,,,,,Gap content planned
40,"where to buy dime carts",/locations,Transactional,High,Medium,,,,,,,
41,"anti leak vape cart",/blog/built-to-beat-leaks-the-dime-hardware-story,Informational,Medium,Low-Medium,,,,,,,
42,"are dime carts worth it",/blog/are-dime-carts-worth-it,Informational,Medium,Medium,,,,,,,Gap content planned
43,"best dime industries flavors",/blog/best-dime-industries-flavors,Informational,Medium,Medium,,,,,,,Gap content planned
44,"buy thc vapes online",/,Transactional,Medium,High,,,,,,,
45,"dime 1000mg",/shop/vapes,Commercial,Medium,Medium,,,,,,,
46,"dime 510 cart",/shop/vapes,Commercial,Medium,Medium,,,,,,,
47,"dime balanced",/shop/vapes/balanced,Commercial,Medium,Low-Medium,,,,,,,
48,"dime battery",/shop/accessories,Commercial,Medium,Medium,,,,,,,
49,"dime cart flavors",/shop/vapes,Commercial,Medium,Medium,,,,,,,
50,"dime cart leftover oil",/blog/built-to-beat-leaks-the-dime-hardware-story,Informational,Medium,Low-Medium,,,,,,,
