Keyword,Volume,KD,CPC,Position (.com equity),Traffic,Intent,Assigned .us URL,Page Type,Gap,Priority,Cluster,Action,AI Overview,SERP Features
"birthday cake strain",4400,26,3.77,13,22,"informational",/product/birthday-cake,Product,N,High,Strain PDP,"Optimize PDP meta/H1/schema for strain query; ensure in sitemap",Y,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview"
"king louis xiii strain",3600,17,0,9,68,"commercial",/product/king-louis-xiii,Product,N,High,Strain PDP,"Optimize PDP meta/H1/schema for strain query; ensure in sitemap",N,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches"
"key lime pie strain",2900,8,0,3,69,"informational",/product/key-lime-pie,Product,N,High,Strain PDP,"Optimize PDP meta/H1/schema for strain query; ensure in sitemap",Y,"Reviews, Video, People also ask, Related searches, Discussions and forums, AI overview"
"dime cart",1900,17,2.74,1,1520,"commercial, navigational",/shop/vapes,Category,N,High,Carts,"Commercial hub exists — improve H1/meta/internal links; beginners pillar for dime cart",N,"Image pack, Sitelinks, Video, People also ask, Related searches | Hub deepened 2026-08-04 (cart/pen copy + beginners links)"
"vapes pink",1600,15,0,8,30,"informational",/product/pink-rose,Product,N,High,Strain PDP,"Optimize PDP meta/H1/schema for strain query; ensure in sitemap",Y,"Image pack, Video, People also ask, Related searches, AI overview"
"dime pen",1300,20,2.2,1,1040,"navigational",/shop/vapes,Category,N,High,Carts,"Commercial hub exists — improve H1/meta/internal links; beginners pillar for dime cart",N,"Image pack, Sitelinks, People also ask, Popular products, Related searches | Hub deepened 2026-08-04 (cart/pen copy + beginners links)"
"dime disposable",1300,18,2.79,1,1040,"navigational",/blog/dime-cart-vs-disposable,Blog,N,High,Disposables,"High-volume gap — need dedicated disposable landing (calendar) + cart-vs-disposable already helps",N,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches | Disposables landing + cart-vs-disposable"
"sour grapes strain",1300,12,0,3,57,"informational",/product/sour-grape,Product,N,High,Strain PDP,"Optimize PDP meta/H1/schema for strain query; ensure in sitemap",Y,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview"
"watermelon og",1300,6,3.85,5,45,"informational",/product/watermelon-og,Product,N,High,Strain PDP,"Optimize PDP meta/H1/schema for strain query; ensure in sitemap",N,"Image pack, Video, People also ask, Related searches"
"banana vape",1300,8,0,6,31,"informational, transactional",/product/banana-punch,Product,N,High,Strain PDP,"Optimize PDP meta/H1/schema for strain query; ensure in sitemap",N,"Knowledge panel, Image pack, Video, People also ask, Related searches"
"dimes disposable",1000,15,2.16,1,800,"commercial, navigational",/blog/dime-cart-vs-disposable,Blog,N,High,Disposables,"High-volume gap — need dedicated disposable landing (calendar) + cart-vs-disposable already helps",N,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches | Disposables landing + cart-vs-disposable"
"dime carts",1000,22,2.22,1,800,"navigational",/shop/vapes,Category,N,High,Carts,"Commercial hub exists — improve H1/meta/internal links; beginners pillar for dime cart",N,"Sitelinks, Video, Video Carousel, People also ask, Related searches | Hub deepened 2026-08-04 (cart/pen copy + beginners links)"
"grape sour strain",1000,8,0,4,44,"commercial",/product/sour-grape,Product,N,High,Strain PDP,"Optimize PDP meta/H1/schema for strain query; ensure in sitemap",N,"Sitelinks, Reviews, Video, People also ask, Related searches"
"sour grape strain",1000,10,0,5,30,"informational",/product/sour-grape,Product,N,High,Strain PDP,"Optimize PDP meta/H1/schema for strain query; ensure in sitemap",Y,"Sitelinks, Reviews, Video, People also ask, Related searches, AI overview"
"dime weed",720,29,0,1,576,"navigational",/shop/vapes,Category,N,High,Carts,"Commercial hub exists — improve H1/meta/internal links; beginners pillar for dime cart",N,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches | Hub deepened 2026-08-04 (cart/pen copy + beginners links)"
