Rank,Referring Domain,Est DR,Target URL Linked,Dofollow,Topical Fit (1-10),Why Valuable,Replicate Pattern,Owner Notes
1,,,,,,,Industry news citation,,Fill from Ahrefs
2,,,,,,,Retailer / dispensary blog,,
3,,,,,,,Podcast show notes,,
4,,,,,,,Local CA news,,
5,,,,,,,Local MA news,,
6,,,,,,,Cannabis trade press,,
7,,,,,,,Hardware / vape education,,
8,,,,,,,COA / lab literacy resource,,
9,,,,,,,Coin-fact citation (dime roll),,
10,,,,,,,Marketplace brand page,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,,,,
