Keyword,Volume,Difficulty,CPC,Intent,Assigned Page URL,Page Type,Gap,Priority,Cluster,SERP Features Est.,Notes
dime industries,High,Medium,Medium,Navigational,/,Homepage,N,High,Brand,"Sitelinks, AI Overview",Primary brand query
dime industries official,Medium,Low,Low,Navigational,/,Homepage,N,High,Brand,Sitelinks,Brand navigational variant
dime industries about,Low,Low,Low,Navigational,/about,About,N,Medium,Brand,,
think higher dime,Low,Low,Low,Navigational,/,Homepage,N,Low,Brand,,Brand slogan association
dime cart,1900,17,2.74,Commercial,/shop/vapes,Category,N,High,Carts,"PAA, Shopping","Semrush gap: hub live — deepen + beginners pillar | Hub deepened 2026-08-04 (cart/pen copy + beginners links)"
dime carts,1000,22,2.22,Commercial,/shop/vapes,Category,N,High,Carts,PAA,Semrush | Hub deepened 2026-08-04 (cart/pen copy + beginners links)
dime pen,1300,20,2.20,Commercial,/shop/vapes,Category,N,High,Carts,,Semrush keyword gap | Vapes hub targets dime pen 2026-08-04
dimecarts,Medium,Medium,Medium,Commercial,/shop/vapes,Category,N,Medium,Carts,,Compound variant
dime carts for sale,Medium,High,High,Transactional,/shop/vapes,Category,N,High,Carts,Shopping,
buy dime carts,Medium,High,High,Transactional,/shop/vapes,Category,N,High,Carts,Shopping,Online + retailer CTA
dime industries carts,140,16,1.70,Commercial,/shop/vapes,Category,Partial,High,Carts,,Semrush
dime cartridge,Medium,Medium,Medium,Commercial,/shop/vapes,Category,N,Medium,Carts,,
dime 510 cart,Medium,Medium,Medium,Commercial,/shop/vapes,Category,N,Medium,Carts,,
dime tanks,Medium,Medium,Medium,Commercial,/shop/vapes,Category,N,High,Carts,,Hardware naming
dime 1000mg,Medium,Medium,Medium,Commercial,/shop/vapes,Category,N,Medium,Carts,,
dime disposable,1300,18,2.79,Commercial,/shop/vapes/disposables,Landing,N,High,Disposables,PAA,"Semrush gap — dedicated landing; vs-disposable blog supports | Disposables landing + cart-vs-disposable"
dimes disposable,1000,15,2.16,Commercial,/shop/vapes/disposables,Landing,N,High,Disposables,,Semrush | Disposables landing + cart-vs-disposable
dime dispo,480,17,2.79,Commercial,/shop/vapes/disposables,Landing,N,High,Disposables,,Semrush | Disposables landing + cart-vs-disposable
